Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
A2AMT1	reviewed	BFSP1_MOUSE	Filensin (Beaded filament structural protein 1) (Lens fiber cell beaded-filament structural protein CP 95) (CP95) [Cleaved into: Filensin C-terminal fragment; Filensin N-terminal fragment]	Bfsp1	Mus musculus (Mouse)
A2ANU3	reviewed	SYNG1_MOUSE	Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B)	Syndig1 Tmem90b	Mus musculus (Mouse)
A2AP18	reviewed	PLCH2_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	Plch2 Plcl4	Mus musculus (Mouse)
A2APX8	reviewed	SCN1A_MOUSE	Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)	Scn1a	Mus musculus (Mouse)
A2AR95	reviewed	LRAD3_MOUSE	Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3	Mus musculus (Mouse)
A2ARA8	reviewed	ITA8_MOUSE	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	Itga8	Mus musculus (Mouse)
A2ARI4	reviewed	LGR4_MOUSE	Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48)	Lgr4 Gpr48	Mus musculus (Mouse)
A2ARP1	reviewed	VIP1_MOUSE	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog)	Ppip5k1 Hisppd2a Kiaa0377 Vip1	Mus musculus (Mouse)
A2ARP9	reviewed	CTSR2_MOUSE	Cation channel sperm-associated protein 2 (CatSper2)	Catsper2	Mus musculus (Mouse)
A2ARV4	reviewed	LRP2_MOUSE	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	Lrp2	Mus musculus (Mouse)
A2ASI5	reviewed	SCN3A_MOUSE	Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)	Scn3a	Mus musculus (Mouse)
A2ASQ1	reviewed	AGRIN_MOUSE	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	Agrn Agrin	Mus musculus (Mouse)
A2AVZ9	reviewed	S43A3_MOUSE	Equilibrative nucleobase transporter 1 (Embryonic epithelia gene 1 protein) (Solute carrier family 43 member 3)	Slc43a3 Eeg1 Enbt1	Mus musculus (Mouse)
A2RTF1	reviewed	CTSRB_MOUSE	Cation channel sperm-associated auxiliary subunit beta (CatSper-beta)	Catsperb	Mus musculus (Mouse)
A4FUQ5	reviewed	FPRS4_MOUSE	Formyl peptide receptor-related sequence 4 (N-formylpeptide receptor-like 4)	Fpr-rs4	Mus musculus (Mouse)
A6H8H2	reviewed	DEN4C_MOUSE	DENN domain-containing protein 4C	Dennd4c	Mus musculus (Mouse)
A6H8H5	reviewed	KCNB2_MOUSE	Potassium voltage-gated channel subfamily B member 2 (Voltage-gated potassium channel subunit Kv2.2)	Kcnb2	Mus musculus (Mouse)
A7L9Z8	reviewed	AT2C2_MOUSE	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Ca(2+)/Mn(2+)-ATPase 2C2) (Secretory pathway Ca(2+)-transporting ATPase type 2) (SPCA2)	Atp2c2 Kiaa0703 Spca2	Mus musculus (Mouse)
B0F2B4	reviewed	NLGN4_MOUSE	Neuroligin 4-like (Neuroligin-4) (NL-4)	Nlgn4l Nl4* Nlgn4 Nlgn4x	Mus musculus (Mouse)
B0V2N1	reviewed	PTPRS_MOUSE	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (PTPNU-3) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Ptprs	Mus musculus (Mouse)
B1AS29	reviewed	GRIK3_MOUSE	Glutamate receptor ionotropic, kainate 3 (GluK3) (Glutamate receptor 7) (GluR-7) (GluR7)	Grik3 Glur7	Mus musculus (Mouse)
B1ATG9	reviewed	TIKI2_MOUSE	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein) (TRAB domain-containing protein 2B)	Trabd2b Gm12824 Hkat Tiki2	Mus musculus (Mouse)
B1AUH1	reviewed	PTPRU_MOUSE	Receptor-type tyrosine-protein phosphatase U (R-PTP-U) (EC 3.1.3.48) (Ftp-1) (Pancreatic carcinoma phosphatase 2) (PCP-2) (Protein-tyrosine phosphatase-lamda) (PTP-lambda) (PTPlambda) (Receptor-type protein-tyrosine phosphatase psi) (R-PTP-psi)	Ptpru Pcp2 Ptpf	Mus musculus (Mouse)
B1AWN6	reviewed	SCN2A_MOUSE	Sodium channel protein type 2 subunit alpha (Voltage-gated sodium channel subunit alpha Nav1.2)	Scn2a Scn2a1	Mus musculus (Mouse)
B1AYL1	reviewed	SCN7A_MOUSE	Sodium channel protein type 7 subunit alpha (Nax channel) (Sodium channel Nav2.3)	Scn7a Nag Nav2 scl11	Mus musculus (Mouse)
B2RPY5	reviewed	GP161_MOUSE	G-protein coupled receptor 161	Gpr161 Gm208	Mus musculus (Mouse)
B2RSH2	reviewed	GNAI1_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	Gnai1 Gnai-1	Mus musculus (Mouse)
B2RVY9	reviewed	TM182_MOUSE	Transmembrane protein 182	Tmem182	Mus musculus (Mouse)
B2RX12	reviewed	MRP3_MOUSE	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multidrug resistance-associated protein 3)	Abcc3 Cmoat2 Mrp3	Mus musculus (Mouse)
B2RXE2	reviewed	SL9A5_MOUSE	Sodium/hydrogen exchanger 5 (Na(+)/H(+) exchanger 5) (NHE-5) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 5)	Slc9a5 Nhe5	Mus musculus (Mouse)
B2RXS4	reviewed	PLXB2_MOUSE	Plexin-B2	Plxnb2	Mus musculus (Mouse)
B2RXV4	reviewed	FLVC1_MOUSE	Heme transporter FLVCR1 (Feline leukemia virus subgroup C receptor-related protein 1) (Feline leukemia virus subgroup C receptor) (Major facilitator superfamily domain containing 7B) (Mfsd7b)	Flvcr1 Mfsd7b	Mus musculus (Mouse)
B2RY04	reviewed	DOCK5_MOUSE	Dedicator of cytokinesis protein 5 (Lens rupture protein 2) (Rupture of lens cataract protein)	Dock5 Lr2 Rlc	Mus musculus (Mouse)
B5X0E4	reviewed	ABCB5_MOUSE	ATP-binding cassette sub-family B member 5 (ABCB5 P-gp) (P-glycoprotein ABCB5) (EC 7.6.2.2)	Abcb5	Mus musculus (Mouse)
B6A8R8	reviewed	TARM1_MOUSE	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	Tarm1 Gm9904	Mus musculus (Mouse)
B9EHT4	reviewed	CLIP3_MOUSE	CAP-Gly domain-containing linker protein 3 (Cytoplasmic linker protein 170-related 59 kDa protein) (CLIP-170-related 59 kDa protein) (CLIPR-59)	Clip3 Clipr59	Mus musculus (Mouse)
B9EKR1	reviewed	PTPRZ_MOUSE	Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48)	Ptprz1	Mus musculus (Mouse)
C6KI89	reviewed	CTSG2_MOUSE	Cation channel sperm-associated auxiliary subunit gamma 2	Catsperg2 Catsperg	Mus musculus (Mouse)
D3YUJ3	reviewed	CCYL1_MOUSE	Cyclin-Y-like protein 1	Ccnyl1	Mus musculus (Mouse)
D3YWQ0	reviewed	DGKI_MOUSE	Diacylglycerol kinase iota (DAG kinase iota) (EC 2.7.1.107)	Dgki	Mus musculus (Mouse)
D3YXJ0	reviewed	DGKH_MOUSE	Diacylglycerol kinase eta (DAG kinase eta) (EC 2.7.1.107) (Diglyceride kinase eta) (DGK-eta)	Dgkh	Mus musculus (Mouse)
D3YZZ2	reviewed	TGR3L_MOUSE	Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor, beta receptor III-like)	Tgfbr3l Gm14378	Mus musculus (Mouse)
D3Z1Q2	reviewed	MRAP2_MOUSE	Melanocortin-2 receptor accessory protein 2	Mrap2	Mus musculus (Mouse)
D3Z291	reviewed	CAHM1_MOUSE	Calcium homeostasis modulator protein 1	Calhm1	Mus musculus (Mouse)
D7PDD4	reviewed	G6B_MOUSE	Megakaryocyte and platelet inhibitory receptor G6b (ITIM-receptor G6b-B) (Immunoreceptor tyrosine-based inhibitory motif (ITIM)-containing platelet receptor)	Mpig6b AU023871 G6b G6b-B	Mus musculus (Mouse)
E2JF22	reviewed	PIEZ1_MOUSE	Piezo-type mechanosensitive ion channel component 1 (Protein FAM38A)	Piezo1 Fam38a	Mus musculus (Mouse)
E9PUL5	reviewed	PRRT2_MOUSE	Proline-rich transmembrane protein 2 (Dispanin subfamily B member 3) (DSPB3)	Prrt2	Mus musculus (Mouse)
E9PUN2	reviewed	NRX2B_MOUSE	Neurexin-2-beta (Neurexin II-beta)	Nrxn2	Mus musculus (Mouse)
E9PUQ8	reviewed	DGKD_MOUSE	Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107)	Dgkd	Mus musculus (Mouse)
E9PVD3	reviewed	PCD16_MOUSE	Protocadherin-16 (Protein Dchs1) (Protein dachsous homolog 1)	Dchs1	Mus musculus (Mouse)
E9PXX9	reviewed	S28A1_MOUSE	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	Slc28a1	Mus musculus (Mouse)
E9PY61	reviewed	GP179_MOUSE	G-protein coupled receptor 179	Gpr179 Nob5	Mus musculus (Mouse)
E9PZ19	reviewed	TUTLB_MOUSE	Protein turtle homolog B (Immunoglobulin superfamily member 9B)	Igsf9b Kiaa1030	Mus musculus (Mouse)
E9PZ36	reviewed	PKHD1_MOUSE	Fibrocystin (Polycystic kidney and hepatic disease 1 protein) (Polyductin)	Pkhd1	Mus musculus (Mouse)
E9Q0N2	reviewed	PTPRH_MOUSE	Receptor-type tyrosine-protein phosphatase H (R-PTP-H) (EC 3.1.3.48) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1)	Ptprh SAP-1	Mus musculus (Mouse)
E9Q236	reviewed	MRP4_MOUSE	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 4)	Abcc4 Mrp4	Mus musculus (Mouse)
E9Q3L2	reviewed	PI4KA_MOUSE	Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67)	Pi4ka Pik4 Pik4ca	Mus musculus (Mouse)
E9Q3M5	reviewed	S4A5_MOUSE	Electrogenic sodium bicarbonate cotransporter 4 (Anion exchange protein) (Solute carrier family 4 member 5)	Slc4a5	Mus musculus (Mouse)
E9Q557	reviewed	DESP_MOUSE	Desmoplakin (DP)	Dsp	Mus musculus (Mouse)
E9Q7G0	reviewed	NUMA1_MOUSE	Nuclear mitotic apparatus protein 1 (Nuclear mitotic apparatus protein) (NuMA protein)	Numa1	Mus musculus (Mouse)
E9Q7X6	reviewed	HEG1_MOUSE	Protein HEG homolog 1	Heg1	Mus musculus (Mouse)
E9Q7X7	reviewed	NRX2A_MOUSE	Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha)	Nrxn2	Mus musculus (Mouse)
E9Q816	reviewed	CP2W1_MOUSE	Cytochrome P450 2W1 (EC 1.14.14.-)	Cyp2w1	Mus musculus (Mouse)
E9Q9F6	reviewed	CTSRD_MOUSE	Cation channel sperm-associated auxiliary subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146)	Catsperd Tmem146	Mus musculus (Mouse)
E9Q9R9	reviewed	DLG5_MOUSE	Disks large homolog 5	Dlg5	Mus musculus (Mouse)
E9Q9W4	reviewed	S27A6_MOUSE	Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty-acid-coenzyme A ligase, very long-chain 2) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLACS2) (VLCSH1) (mVLCS-H1) (EC 6.2.1.-)	Slc27a6 Acsvl2 Facvl2 Fatp1	Mus musculus (Mouse)
F7BWT7	reviewed	TSN15_MOUSE	Tetraspanin-15 (Tspan-15) (Transmembrane 4 superfamily member 15)	Tspan15	Mus musculus (Mouse)
F8VPU2	reviewed	FARP1_MOUSE	FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)	Farp1	Mus musculus (Mouse)
F8VQ03	reviewed	ADAM3_MOUSE	A disintegrin and metallopeptidase domain 3 (Cyritestin)	Adam3 Cyrn1	Mus musculus (Mouse)
F8VQB6	reviewed	MYO10_MOUSE	Unconventional myosin-X (Unconventional myosin-10)	Myo10	Mus musculus (Mouse)
F8VQN3	reviewed	GPR31_MOUSE	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G-protein coupled receptor 31)	Gpr31 Gpr31b Gpr31c	Mus musculus (Mouse)
G3X939	reviewed	SL9A3_MOUSE	Sodium/hydrogen exchanger 3	Slc9a3	Mus musculus (Mouse)
G3X943	reviewed	S39A2_MOUSE	Zinc transporter ZIP2 (Solute carrier family 39 member 2) (Zrt- and Irt-like protein 2) (ZIP-2) (hZIP2)	Slc39a2 Zip2	Mus musculus (Mouse)
G3X9J0	reviewed	SI1L3_MOUSE	Signal-induced proliferation-associated 1-like protein 3 (SIPA1-like protein 3) (SPA-1-like protein 3)	Sipa1l3 Spal3	Mus musculus (Mouse)
G3XA57	reviewed	RFIP2_MOUSE	Rab11 family-interacting protein 2 (Rab11-FIP2)	Rab11fip2	Mus musculus (Mouse)
G3XA59	reviewed	LRC32_MOUSE	Transforming growth factor beta activator LRRC32 (Garpin) (Glycoprotein A repetitions predominant) (GARP) (Leucine-rich repeat-containing protein 32)	Lrrc32	Mus musculus (Mouse)
G5E829	reviewed	AT2B1_MOUSE	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	Atp2b1	Mus musculus (Mouse)
G5E8K5	reviewed	ANK3_MOUSE	Ankyrin-3 (ANK-3) (Ankyrin-G)	Ank3	Mus musculus (Mouse)
G5E8Q8	reviewed	AGRF5_MOUSE	Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116)	Adgrf5 Gpr116	Mus musculus (Mouse)
J3QMI4	reviewed	CAHM3_MOUSE	Calcium homeostasis modulator protein 3	Calhm3	Mus musculus (Mouse)
J3QMK6	reviewed	AL3B3_MOUSE	Aldehyde dehydrogenase family 3 member B3 (EC 1.2.1.3)	Aldh3b3	Mus musculus (Mouse)
O08523	reviewed	TECTA_MOUSE	Alpha-tectorin	Tecta	Mus musculus (Mouse)
O08524	reviewed	TECTB_MOUSE	Beta-tectorin	Tectb	Mus musculus (Mouse)
O08529	reviewed	CAN2_MOUSE	Calpain-2 catalytic subunit (EC 3.4.22.53) (80 kDa M-calpain subunit) (CALP80) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	Capn2	Mus musculus (Mouse)
O08530	reviewed	S1PR1_MOUSE	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Lysophospholipid receptor B1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1pr1 Edg1 Lpb1	Mus musculus (Mouse)
O08532	reviewed	CA2D1_MOUSE	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	Cacna2d1 Cacna2	Mus musculus (Mouse)
O08539	reviewed	BIN1_MOUSE	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9)	Bin1 Amphl Sh3p9	Mus musculus (Mouse)
O08543	reviewed	EFNA5_MOUSE	Ephrin-A5 (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7)	Efna5 Epl7 Eplg7 Lerk7	Mus musculus (Mouse)
O08545	reviewed	EFNA3_MOUSE	Ephrin-A3 (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3)	Efna3 Epl3 Eplg3 Lerk3	Mus musculus (Mouse)
O08581	reviewed	KCNK1_MOUSE	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1)	Kcnk1	Mus musculus (Mouse)
O08602	reviewed	RAE1A_MOUSE	Retinoic acid early-inducible protein 1-alpha (RAE-1-alpha)	Raet1a	Mus musculus (Mouse)
O08603	reviewed	RAE1B_MOUSE	Retinoic acid early-inducible protein 1-beta (RAE-1-beta)	Raet1b	Mus musculus (Mouse)
O08604	reviewed	RAE1C_MOUSE	Retinoic acid early-inducible protein 1-gamma (RAE-1-gamma)	Raet1c	Mus musculus (Mouse)
O08644	reviewed	EPHB6_MOUSE	Ephrin type-B receptor 6 (MEP) (Tyrosine-protein kinase-defective receptor EPH-6)	Ephb6 Cekl	Mus musculus (Mouse)
O08650	reviewed	HYAS3_MOUSE	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)	Has3	Mus musculus (Mouse)
O08675	reviewed	PAR3_MOUSE	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2rl2 Par3	Mus musculus (Mouse)
O08705	reviewed	NTCP_MOUSE	Hepatic sodium/bile acid cotransporter (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (NTCP) (Solute carrier family 10 member 1) (SLC10A1)	Slc10a1 Ntcp	Mus musculus (Mouse)
O08707	reviewed	ACKR2_MOUSE	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	Ackr2 Ccbp2 D6	Mus musculus (Mouse)
O08747	reviewed	UNC5C_MOUSE	Netrin receptor UNC5C (Protein unc-5 homolog 3) (Protein unc-5 homolog C) (Rostral cerebellar malformation protein)	Unc5c Rcm Unc5h3	Mus musculus (Mouse)
O08786	reviewed	CCKAR_MOUSE	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)	Cckar	Mus musculus (Mouse)
O08790	reviewed	FPRS1_MOUSE	Formyl peptide receptor-related sequence 1 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor related sequence 1) (Formyl peptide receptor-like 1) (Lipoxin A4 receptor) (LXA4 receptor) (N-formyl peptide receptor 2) (N-formyl peptide receptor 3)	Fpr-s1 Fpr2 Fpr3 Fprl1 Lxa4r	Mus musculus (Mouse)
O08808	reviewed	DIAP1_MOUSE	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1) (p140mDIA) (mDIA1)	Diaph1 Diap1	Mus musculus (Mouse)
O08842	reviewed	GFRA2_MOUSE	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (TGF-beta-related neurotrophic factor receptor 2)	Gfra2 Gdnfrb Trnr2	Mus musculus (Mouse)
O08849	reviewed	RGS2_MOUSE	Regulator of G-protein signaling 2 (RGS2)	Rgs2	Mus musculus (Mouse)
O08852	reviewed	PKD1_MOUSE	Polycystin-1 (Autosomal dominant polycystic kidney disease 1 protein homolog)	Pkd1	Mus musculus (Mouse)
O08858	reviewed	SSR5_MOUSE	Somatostatin receptor type 5 (SS-5-R) (SS5-R) (SS5R)	Sstr5 Smstr5	Mus musculus (Mouse)
O08917	reviewed	FLOT1_MOUSE	Flotillin-1	Flot1	Mus musculus (Mouse)
O08966	reviewed	S22A1_MOUSE	Solute carrier family 22 member 1 (Organic cation transporter 1) (mOCT1)	Slc22a1 Lx1 Oct1	Mus musculus (Mouse)
O08967	reviewed	CYH3_MOUSE	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3) (CLM3) (SEC7 homolog C) (mSec7-3)	Cyth3 Grp1 Pscd3	Mus musculus (Mouse)
O08992	reviewed	SDCB1_MOUSE	Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1)	Sdcbp	Mus musculus (Mouse)
O09044	reviewed	SNP23_MOUSE	Synaptosomal-associated protein 23 (SNAP-23) (Syndet) (Vesicle-membrane fusion protein SNAP-23)	Snap23 Sndt	Mus musculus (Mouse)
O09047	reviewed	C3AR_MOUSE	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R) (Complement component 3a receptor 1)	C3ar1 C3r1	Mus musculus (Mouse)
O09126	reviewed	SEM4D_MOUSE	Semaphorin-4D (M-Sema G) (Semaphorin-C-like 2) (Semaphorin-J) (Sema J) (CD antigen CD100)	Sema4d Semacl2 Semaj	Mus musculus (Mouse)
O09127	reviewed	EPHA8_MOUSE	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (Tyrosine-protein kinase receptor EEK)	Epha8 Eek	Mus musculus (Mouse)
O09198	reviewed	MAL_MOUSE	Myelin and lymphocyte protein (T-lymphocyte maturation-associated protein)	Mal	Mus musculus (Mouse)
O35054	reviewed	CLD4_MOUSE	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor)	Cldn4 Cper Cpetr1	Mus musculus (Mouse)
O35082	reviewed	KLOT_MOUSE	Klotho (EC 3.2.1.31) [Cleaved into: Klotho peptide]	Kl	Mus musculus (Mouse)
O35089	reviewed	CNIH2_MOUSE	Protein cornichon homolog 2 (CNIH-2) (Cornichon family AMPA receptor auxiliary protein 2) (Cornichon-like protein)	Cnih2 Cnil	Mus musculus (Mouse)
O35111	reviewed	KCNK3_MOUSE	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (Cardiac two pore background K(+) channel) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1) (cTBAK-1)	Kcnk3 Ctbak Task Task1	Mus musculus (Mouse)
O35118	reviewed	GFRA3_MOUSE	GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3)	Gfra3	Mus musculus (Mouse)
O35129	reviewed	PHB2_MOUSE	Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity)	Phb2 Bap Bcap37 Rea	Mus musculus (Mouse)
O35136	reviewed	NCAM2_MOUSE	Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2) (Neural cell adhesion molecule RB-8) (R4B12)	Ncam2 Ocam Rncam	Mus musculus (Mouse)
O35161	reviewed	CELR1_MOUSE	Cadherin EGF LAG seven-pass G-type receptor 1	Celsr1	Mus musculus (Mouse)
